207.344	8.25	0.139953
207.351	8.41667	0.143707
207.36	8.65	0.155555
207.368	8.83333	0.139642
207.375	9	0.142128
207.383	9.18333	0.149798
207.389	9.33333	0.146263
207.396	9.5	0.160849
207.405	9.71667	0.170836
207.413	9.9	0.17973
207.422	10.1333	0.172287
207.428	10.2833	0.187674
207.435	10.45	0.26782
207.442	10.6167	0.349709
207.449	10.7833	0.387207
207.456	10.95	0.444712
207.465	11.15	0.520868
207.472	11.3167	0.933486
207.478	11.4833	0.76475
207.484	11.6167	0.732344
207.489	11.7333	0.696799
207.492	11.8167	0.630648
207.504	12.1	0.359564
207.512	12.3	0.277536
207.519	12.4667	0.20248
207.526	12.6167	0.168826
207.548	13.15	0.160858
207.563	13.5167	0.191317
207.574	13.7667	0.116203
207.585	14.0333	0.1243
207.597	14.3333	0.112124
207.615	14.75	0.110579
207.626	15.0167	0.101595
