196.326	7.81667	0.0966198
196.333	7.98333	0.103547
196.34	8.15	0.116249
196.347	8.31667	0.123961
196.354	8.5	0.11125
196.36	8.65	0.116049
196.367	8.81667	0.132197
196.374	8.98333	0.196334
196.382	9.16667	0.207714
196.392	9.4	0.218691
196.401	9.61667	0.281426
196.408	9.8	0.342143
196.417	10	0.38061
196.424	10.1667	0.444203
196.431	10.35	0.477214
196.438	10.5	0.494227
196.451	10.8167	0.376672
196.458	11	0.413364
196.465	11.15	0.416555
196.472	11.3333	0.458462
196.478	11.4833	0.480832
196.485	11.65	0.486644
196.492	11.8167	0.552206
