193.361	8.66667	0.167114
193.377	9.05	0.138986
193.385	9.23333	0.1509
193.395	9.48333	0.149467
193.408	9.8	0.152685
193.415	9.96667	0.154353
193.425	10.2	0.203797
193.435	10.45	0.354377
193.445	10.6833	0.495163
193.452	10.85	0.591437
193.493	11.8333	0.509076
193.501	12.0167	0.346924
193.515	12.3667	0.176459
193.524	12.5833	0.140238
193.533	12.7833	0.150803
193.544	13.05	0.141907
193.551	13.2167	0.141743
193.557	13.3667	0.144194
193.568	13.6333	0.141546
193.576	13.8167	0.143353
193.583	13.9833	0.0978603
193.589	14.1333	0.13165
193.596	14.3	0.128601
